Start Time,End Time,Starting Battery Level,kWh Added,Charging Time,Ending Battery Level
43110840.0,43111860.0,36,18.23,1020.0,70.667991
43121520.0,43125420.0,46,6.81,3900.0,58.950576999999996
44227260.0,44248980.0,24,33.73,21720.0,88.144341
45033420.0,45041580.0,16,12.99,8160.0,40.703083
45436320.0,45458700.0,19,36.14,22380.0,87.72743799999999
46001460.0,46042260.0,61,12.58,40800.0,84.923386
46052280.0,46052700.0,24,13.31,420.0,49.311627
46057560.0,46058820.0,16,28.19,1260.0,69.608923
46063920.0,46065300.0,25,27.46,1380.0,77.22068200000001
46119840.0,46159380.0,17,38.99,39540.0,91.147283
46163100.0,46163940.0,95,0.31,840.0,95.589527
46167360.0,46168080.0,95,0.32,720.0,95.608544
46171800.0,46172580.0,95,0.31,780.0,95.589527
46176300.0,46177020.0,95,0.31,720.0,95.589527
46180800.0,46181340.0,95,0.31,540.0,95.589527
46330560.0,46331400.0,49,1.26,840.0,51.396142
46424400.0,46439100.0,12,25.67,14700.0,60.816639
46603320.0,46609560.0,27,31.84,6240.0,87.550128
46744860.0,46745760.0,24,17.91,900.0,58.059447
46750260.0,46751400.0,20,25.65,1140.0,68.778605
46756860.0,46757700.0,22,21.89,840.0,63.628213
46822380.0,46825080.0,13,38.54,2700.0,86.291518
47347800.0,47351160.0,71,5.66,3360.0,81.763622
48544320.0,48559860.0,16,27.55,15540.0,68.391835
49162440.0,49172760.0,32,10.26,10320.0,51.511442
49176180.0,49182480.0,52,3.98,6300.0,59.568766
49859580.0,49859760.0,19,1.88,180.0,22.575196
50009640.0,50027760.0,12,31.73,18120.0,72.340941
50028060.0,50033040.0,73,8.69,4980.0,89.525773
50033340.0,50038740.0,90,1.57,5400.0,92.985669
50395140.0,50396040.0,16,23.89,900.0,61.431613
50459580.0,50479740.0,15,34.88,20160.0,81.33129600000001
51666780.0,51672180.0,39,9.22,5400.0,56.533674000000005
52097220.0,52114680.0,38,28.080000000000002,17460.0,91.399736
53992740.0,54015240.0,12,39.81,22500.0,87.706677
56356440.0,56358660.0,19,38.23,2220.0,91.70199099999999
57357540.0,57377640.0,20,36.55,20100.0,89.50713499999999
58474740.0,58498980.0,7,43.79,24240.0,90.275443
61240920.0,61255380.0,49,25.78,14460.0,98.025826
61267200.0,61267680.0,22,16.36,480.0,53.111812
61272360.0,61273860.0,19,31.81,1500.0,79.493077
61278960.0,61281780.0,31,36.25,2820.0,99.93662499999999
61346400.0,61347720.0,35,24.74,1320.0,82.048058
61777320.0,61778520.0,16,1.95,1200.0,19.708315
61813860.0,61846260.0,0,50.74,32400.0,96.492258
61866960.0,61868760.0,11,36.38,1800.0,80.183846
61875840.0,61876860.0,23,24.23,1020.0,69.078191
62045880.0,62068260.0,9,40.0,22380.0,85.068
63155340.0,63157320.0,19,21.69,1980.0,60.247873
63489840.0,63502440.0,46,21.28,12600.0,86.468176
63540960.0,63574140.0,80,10.32,33180.0,99.625544
63608220.0,63611280.0,9,45.93,3060.0,96.345081
63622620.0,63653220.0,13,41.76,30600.0,92.414992
63669000.0,63674280.0,73,8.25,5280.0,88.689025
63748200.0,63749340.0,67,1.84,1140.0,70.499128
63761520.0,63762060.0,8,19.5,540.0,45.083149999999996
63765720.0,63766800.0,10,29.7,1080.0,66.48049
63772140.0,63773460.0,9,31.55,1320.0,68.99863500000001
63871260.0,63888780.0,13,29.01,17520.0,68.168317
64365660.0,64369620.0,42,7.02,3960.0,55.349934
64885380.0,64893000.0,40,13.74,7620.0,66.129358
65257620.0,65258100.0,50,0.9,480.0,51.71153
65350620.0,65356080.0,35,9.13,5460.0,52.362521
65874720.0,65904300.0,38,9.45,29580.0,55.971064999999996
66085500.0,66098880.0,32,24.17,13380.0,77.964089
66718140.0,66722160.0,40,7.06,4020.0,53.426002
66776520.0,66776880.0,46,0.4,360.0,46.76068
66777900.0,66780180.0,47,3.81,2280.0,54.245477
67314480.0,67316400.0,27,27.37,1920.0,79.049529
68025600.0,68045400.0,23,34.68,19800.0,88.95095599999999
68434200.0,68441040.0,55,11.66,6840.0,77.173822
69043140.0,69044400.0,39,20.94,1260.0,78.821598
69056640.0,69063180.0,66,10.72,6540.0,86.386224
69718380.0,69723180.0,54,8.38,4800.0,69.936246
70393440.0,70400640.0,24,33.25,7200.0,87.231525
71351640.0,71365020.0,46,24.21,13380.0,92.040157
71441700.0,71444160.0,53,4.04,2460.0,60.682868
71490960.0,71528400.0,48,11.79,37440.0,70.421043
71614980.0,71617740.0,17,30.41,2760.0,74.830697
72137940.0,72153480.0,39,27.35,15540.0,91.011495
72580680.0,72586860.0,40,10.07,6180.0,59.150119000000004
72611100.0,72617280.0,55,10.22,6180.0,74.435374
73034100.0,73036500.0,32,31.42,2400.0,91.75141400000001
73102920.0,73104000.0,23,26.43,1080.0,73.261931
73109940.0,73110900.0,16,25.01,960.0,63.561517
73115580.0,73116360.0,24,21.06,780.0,64.049802
73385760.0,73410540.0,9,42.53,24780.0,89.879301
73707900.0,73721940.0,10,23.81,14040.0,55.27947699999999
73811700.0,73823160.0,27,18.85,11460.0,62.847045
73856640.0,73869540.0,51,21.99,12900.0,92.818383
73991760.0,74012520.0,8,31.16,20760.0,67.25697199999999
76931460.0,76962240.0,37,26.57,30780.0,87.52816899999999
76967220.0,76967940.0,90,0.68,720.0,91.293156
76988400.0,76989420.0,30,18.57,1020.0,65.314569
76993560.0,76994640.0,31,23.56,1080.0,75.804052
76999800.0,77001420.0,20,32.71,1620.0,82.20460700000001
77074980.0,77077800.0,32,4.83,2820.0,41.185211
77170080.0,77172180.0,27,30.5,2100.0,85.00184999999999
77585580.0,77586780.0,50,2.09,1200.0,53.974553
77677680.0,77681640.0,43,7.35,3960.0,56.977495
78285060.0,78302880.0,21,31.29,17820.0,80.50419299999999
79397760.0,79399260.0,28,27.35,1500.0,80.011495
79688160.0,79689840.0,41,24.09,1680.0,86.81195299999999
80095740.0,80104200.0,49,14.14,8460.0,75.890038
80699940.0,80702880.0,40,5.11,2940.0,49.717687
81231900.0,81251280.0,28,33.78,19380.0,92.239426
81309240.0,81311700.0,62,4.46,2460.0,70.481582
81317400.0,81322020.0,68,8.25,4620.0,83.689025
81837180.0,81840600.0,40,5.76,3420.0,50.953792
81995280.0,82008240.0,43,21.61,12960.0,84.095737
82600020.0,82613100.0,57,4.19,13080.0,64.968123
82962360.0,82973940.0,45,20.42,11580.0,83.83271400000001
83112300.0,83115900.0,76,5.76,3600.0,86.95379199999999
84580740.0,84582240.0,46,19.1,1500.0,82.32247000000001
85899180.0,85901160.0,12,37.57,1980.0,83.44686899999999
85909680.0,85911060.0,12,32.34,1380.0,73.500978
85915680.0,85916400.0,23,18.7,720.0,58.561789999999995
85923060.0,85948020.0,16,32.59,24960.0,77.976403
86062200.0,86063340.0,9,28.13,1140.0,62.494820999999995
86067600.0,86068980.0,19,29.57,1380.0,75.233269
86074380.0,86075220.0,22,22.14,840.0,64.10363799999999
86143080.0,86161080.0,19,30.91,18000.0,77.78154699999999
87088380.0,87096540.0,54,13.34,8160.0,79.368678
88473960.0,88494420.0,10,36.0,20460.0,78.46119999999999
88763100.0,88808940.0,70,13.36,45840.0,95.406712
88820700.0,88821480.0,35,17.15,780.0,67.614155
88829220.0,88831440.0,18,36.25,2220.0,86.93662499999999
88840260.0,88841040.0,10,17.93,780.0,44.097481
88844340.0,88846200.0,17,30.49,1860.0,74.982833
88852860.0,88902420.0,15,16.11,49560.0,45.636387
88982520.0,88991100.0,42,3.1,8580.0,47.89527
89022720.0,89072280.0,31,16.48,49560.0,62.340016
89073360.0,89075040.0,64,2.64,1680.0,69.020488
89076540.0,89124780.0,65,16.1,48240.0,95.61737
89165220.0,89167860.0,30,34.03,2640.0,94.714851
89179380.0,89179860.0,15,15.71,480.0,44.875707000000006
89183400.0,89184900.0,20,31.01,1500.0,78.971717
89185200.0,89186940.0,77,8.63,1740.0,93.411671
89202540.0,89237100.0,4,10.24,34560.0,23.473408
89415840.0,89418000.0,16,32.71,2160.0,78.20460700000001
90538260.0,90553260.0,43,25.09,15000.0,90.713653
90566580.0,90569520.0,25,39.0,2940.0,99.16629999999999
90577200.0,90578400.0,13,25.66,1200.0,61.797622
90584280.0,90607740.0,19,30.51,23460.0,77.02086700000001
